SampleID,Date,Treatment,lake,seqnames,seqlength,mapped,rpkm,rpkm_relative_abundance,TPM,TPM_relative_abundance
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_Mf_WU_F_19750830_S460;4_148_6,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_flos-aquae_TF09;87_9_172,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_novacekii_Mn_MB_F_20050700_S1;100_89_30,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_novacekii_Mn_MB_F_20050700_S1D;146_76_17,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_panniformis_FACHB-1757;130_0_1928,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_GB_SS_20050300_S99;48_81_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_GB_SS_20050300_S99D;173_275_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_MB_F_20051200_S6;169_97_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_MB_F_20051200_S6D;112_255_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_MB_F_20051200_S9;59_209_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_MB_F_20051200_S9D;60_213_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_MB_F_20080800_S26;166_96_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_panniformis_Mp_MB_F_20080800_S26D;178_124_10,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,Microcystis_viridis_Mv_BB_P_19951000_S68;172_35_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_viridis_Mv_BB_P_19951000_S68D;69_214_13,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_viridis_Mv_BB_P_19951000_S69;6_46_13,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,Microcystis_viridis_Mv_BB_P_19951000_S69D;82_344_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_viridis_NIES-102;101_0_3523,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_LE013-01;168_6_14,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_Mw_MB_S_20031200_S109;164_126_17,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_Mw_MB_S_20031200_S109D;64_169_31,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_Mw_QC_B_20070930_S4;25_152_20,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_Mw_QC_B_20070930_S4D;34_6_17,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_Mw_QC_S_20081001_S30;153_125_9,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_Mw_QC_S_20081001_S30D;135_12_17,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_wesenbergii_TW10;160_1_45,852,0,0,0,0,0
ND-1,18_06_28,control,LE,*,0,0,NA,NA,NA,NA
ND-1,18_06_28,control,LE,LE17-10A;96_26_33,852,42,0.000203182,3.583617747,35836.17747,3.583617747
ND-1,18_06_28,control,LE,LE17-20C;181_49_19,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE18-22;158_259_30,852,395,0.001910878,33.70307167,337030.7167,33.70307167
ND-1,18_06_28,control,LE,LE19-10;118_691_6,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-114;5_63_0,852,53,0.000256396,4.5221843,45221.843,4.5221843
ND-1,18_06_28,control,LE,LE19-12;137_77_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-131;58_85_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-13;42_10_148,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-195;10_12_14,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-196;62_435_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-197;77_185_15,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,LE19-251;152_545_16,852,86,0.000416039,7.337883959,73378.83959,7.337883959
ND-1,18_06_28,control,LE,LE19-281;176_983_0,789,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-338;102_251_2,852,24,0.000116104,2.04778157,20477.8157,2.04778157
ND-1,18_06_28,control,LE,LE19-388;45_121_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-41;27_176_4,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
ND-1,18_06_28,control,LE,LE19-4;32_15_34,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-55;142_12_22,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-59;22_858_2,852,0,0,0,0,0
ND-1,18_06_28,control,LE,LE19-84;86_240_15,852,7,3.39E-05,0.597269625,5972.696246,0.597269625
ND-1,18_06_28,control,LE,LE19-8;99_62_36,852,43,0.00020802,3.66894198,36689.4198,3.66894198
ND-1,18_06_28,control,LE,LE19-98;145_13_22,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_0824;63_2_149,852,2,8.56E-06,0.128873093,1288.730931,0.128873093
ND-2,18_06_28,control,LE,Microcystis_LSC13-02;23_291_0,852,1,4.28E-06,0.064436547,644.3654654,0.064436547
ND-2,18_06_28,control,LE,Microcystis_MC19;15_0_2257,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_M_OC_Ca_00000000_C217Col;71_55_0,852,1,4.28E-06,0.064436547,644.3654654,0.064436547
ND-2,18_06_28,control,LE,Microcystis_M_OC_Ca_00000000_S217Cul;161_248_0,852,0,0,0,0,0
