"Clade","SampleID","Date","Rep","Month","Year","lake","Treatment","sample_name","sum_TPM_rel_abund","sum_TPM"
"Mae1","ND-66","19_06_12","R3","06","19","LH","control","19_06_12_R3",17.741935484,177419.35484
"Mae1","ND-67","19_06_12","R1","06","19","LH","quagga","19_06_12_R1",15.041782732,150417.82732
"Mae1","ND-68","19_06_12","R2","06","19","LH","quagga","19_06_12_R2",29.54545454,295454.5454
"Mae1","ND-69","19_06_12","R3","06","19","LH","quagga","19_06_12_R3",19.379844957,193798.449574
"Mae1","ND-7","18_06_28","R4","06","18","LE","quagga","18_06_28_R4",0.414693373,4146.9337317
"Mae1","ND-70","19_06_12","R4","06","19","LH","quagga","19_06_12_R4",25.83333333,258333.333303
"Mae1","ND-71","19_08_22","R1","08","19","LH","control","19_08_22_R1",13.717377868,137173.778681
"Mae1","ND-72","19_08_22","R2","08","19","LH","control","19_08_22_R2",12.473410282,124734.102819
"Mae1","ND-73","19_08_22","R3","08","19","LH","control","19_08_22_R3",8.337148255,83371.4825735
"Mae1","ND-74","19_08_22","R1","08","19","LH","quagga","19_08_22_R1",7.329358712,73293.5871247
"Mae1","ND-75","19_08_22","R2","08","19","LH","quagga","19_08_22_R2",7.24086096,72408.6095971
"Mae1","ND-76","19_08_22","R4","08","19","LH","quagga","19_08_22_R4",5.377929347,53779.2934922
"Mae1","ND-8","18_07_10","R2","07","18","LE","control","18_07_10_R2",0.331171204,3311.712041
"Mae1","ND-9","18_07_10","R3","07","18","LE","control","18_07_10_R3",1.425948993,14259.489936
"Mae10","ND-1","18_06_28","R1","06","18","LE","control","18_06_28_R1",1.621160409,16211.604095
"Mae10","ND-10","18_07_10","R1","07","18","LE","control","18_07_10_R1",1.127089001,11270.890012
"Mae10","ND-11","18_07_10","R1","07","18","LE","quagga","18_07_10_R1",2.148366963,21483.669632
"Mae10","ND-12","18_07_10","R2","07","18","LE","quagga","18_07_10_R2",3.110498921,31104.989215
"Mae10","ND-13","18_07_10","R3","07","18","LE","quagga","18_07_10_R3",0.623995869,6239.958687
"Mae10","ND-14","18_07_10","R4","07","18","LE","quagga","18_07_10_R4",1.383147854,13831.478538
"Mae10","ND-15","18_07_25","R1","07","18","LE","control","18_07_25_R1",1.505958924,15059.589236
"Mae10","ND-16","18_07_25","R2","07","18","LE","control","18_07_25_R2",0.893391471,8933.914704
"Mae10","ND-17","18_07_25","R3","07","18","LE","control","18_07_25_R3",1.604502091,16045.02091
"Mae10","ND-18","18_07_25","R1","07","18","LE","quagga","18_07_25_R1",1.872990661,18729.906615
"Mae10","ND-19","18_07_25","R2","07","18","LE","quagga","18_07_25_R2",2.778363256,27783.632562
"Mae10","ND-2","18_06_28","R2","06","18","LE","control","18_06_28_R2",0.19330964,1933.0963964
"Mae10","ND-20","18_07_25","R3","07","18","LE","quagga","18_07_25_R3",1.398655547,13986.555477
"Mae10","ND-21","18_07_25","R4","07","18","LE","quagga","18_07_25_R4",2.739266888,27392.66888
"Mae10","ND-22","18_08_15","R1","08","18","LE","control","18_08_15_R1",5.629021468,56290.21468
"Mae10","ND-23","18_08_15","R2","08","18","LE","control","18_08_15_R2",8.130162703,81301.62703
"Mae10","ND-24","18_08_15","R3","08","18","LE","control","18_08_15_R3",5.26464843,52646.484303
"Mae10","ND-25","18_08_15","R1","08","18","LE","quagga","18_08_15_R1",4.905520257,49055.20257
"Mae10","ND-26","18_08_15","R2","08","18","LE","quagga","18_08_15_R2",6.22514692,62251.469192
"Mae10","ND-27","18_08_15","R3","08","18","LE","quagga","18_08_15_R3",3.976368331,39763.683302
"Mae10","ND-28","18_08_15","R4","08","18","LE","quagga","18_08_15_R4",3.489853303,34898.53303
"Mae10","ND-29","18_10_4","R1","10","18","LE","control","18_10_4_R1",12.406880488,124068.804878
"Mae10","ND-3","18_06_28","R3","06","18","LE","control","18_06_28_R3",2.485183751,24851.837509
"Mae10","ND-30","18_10_4","R2","10","18","LE","control","18_10_4_R2",27.418664596,274186.645962
"Mae10","ND-31","18_10_4","R3","10","18","LE","control","18_10_4_R3",24.602673849,246026.738487
"Mae10","ND-32","18_10_4","R1","10","18","LE","quagga","18_10_4_R1",29.796357312,297963.5731213
"Mae10","ND-33","18_10_4","R2","10","18","LE","quagga","18_10_4_R2",25.367703985,253677.039842
"Mae10","ND-35","19_07_18","R1","07","19","LE","control","19_07_18_R1",2.960348826,29603.488256
"Mae10","ND-36","19_07_18","R2","07","19","LE","control","19_07_18_R2",0.557263643,5572.636434
"Mae10","ND-37","19_07_18","R3","07","19","LE","control","19_07_18_R3",1.270496699,12704.966976
"Mae10","ND-38","19_07_18","R1","07","19","LE","quagga","19_07_18_R1",1.211861945,12118.619462
"Mae10","ND-39","19_07_18","R2","07","19","LE","quagga","19_07_18_R2",1.48069068,14806.906796
"Mae10","ND-4","18_06_28","R1","06","18","LE","quagga","18_06_28_R1",0.822550237,8225.502357
"Mae10","ND-40","19_07_18","R3","07","19","LE","quagga","19_07_18_R3",0.748245493,7482.454933
"Mae10","ND-41","19_07_18","R4","07","19","LE","quagga","19_07_18_R4",0.580386924,5803.869246
"Mae10","ND-42","19_07_31","R1","07","19","LE","control","19_07_31_R1",1.552410743,15524.107435
"Mae10","ND-43","19_07_31","R2","07","19","LE","control","19_07_31_R2",1.6543138,16543.138
"Mae10","ND-44","19_07_31","R3","07","19","LE","control","19_07_31_R3",1.734842546,17348.425463
"Mae10","ND-45","19_07_31","R1","07","19","LE","quagga","19_07_31_R1",2.374979262,23749.792621
"Mae10","ND-46","19_07_31","R2","07","19","LE","quagga","19_07_31_R2",1.212609378,12126.0937844
"Mae10","ND-47","19_07_31","R3","07","19","LE","quagga","19_07_31_R3",1.524113026,15241.1302573
"Mae10","ND-48","19_07_31","R4","07","19","LE","quagga","19_07_31_R4",2.04867979,20486.797891
"Mae10","ND-49","19_08_13","R1","08","19","LE","control","19_08_13_R1",1.461877757,14618.777572
"Mae10","ND-5","18_06_28","R2","06","18","LE","quagga","18_06_28_R2",0.734500034,7345.000351
"Mae10","ND-50","19_08_13","R2","08","19","LE","control","19_08_13_R2",0.552294455,5522.944555
"Mae10","ND-51","19_08_13","R3","08","19","LE","control","19_08_13_R3",1.409670476,14096.704763
"Mae10","ND-52","19_08_13","R4","08","19","LE","control","19_08_13_R4",1.462519164,14625.191638
"Mae10","ND-53","19_08_13","R1","08","19","LE","quagga","19_08_13_R1",0.967729471,9677.294713
"Mae10","ND-54","19_08_13","R2","08","19","LE","quagga","19_08_13_R2",0.675602218,6756.022179
"Mae10","ND-55","19_08_13","R3","08","19","LE","quagga","19_08_13_R3",0.455623812,4556.238118
"Mae10","ND-56","19_08_13","R4","08","19","LE","quagga","19_08_13_R4",0.323667939,3236.67939
"Mae10","ND-57","19_09_18","R1","09","19","LE","control","19_09_18_R1",1.666730526,16667.305261
"Mae10","ND-58","19_09_18","R2","09","19","LE","control","19_09_18_R2",3.31858407,33185.8407
"Mae10","ND-59","19_09_18","R3","09","19","LE","control","19_09_18_R3",3.672316384,36723.16384
"Mae10","ND-6","18_06_28","R3","06","18","LE","quagga","18_06_28_R3",5.134303022,51343.030223
"Mae10","ND-60","19_09_18","R1","09","19","LE","quagga","19_09_18_R1",2.147971361,21479.713604
"Mae10","ND-61","19_09_18","R2","09","19","LE","quagga","19_09_18_R2",1.946668009,19466.68009
"Mae10","ND-62","19_09_18","R3","09","19","LE","quagga","19_09_18_R3",0.73369799,7336.9798967
"Mae10","ND-63","19_09_18","R4","09","19","LE","quagga","19_09_18_R4",2.851935382,28519.353825
"Mae10","ND-64","19_06_12","R1","06","19","LH","control","19_06_12_R1",36.111111111,361111.11111
"Mae10","ND-65","19_06_12","R2","06","19","LH","control","19_06_12_R2",30.769230776,307692.30776
"Mae10","ND-66","19_06_12","R3","06","19","LH","control","19_06_12_R3",20.967741936,209677.41936
"Mae10","ND-67","19_06_12","R1","06","19","LH","quagga","19_06_12_R1",38.971891613,389718.916128
"Mae10","ND-68","19_06_12","R2","06","19","LH","quagga","19_06_12_R2",17.045454545,170454.54545
"Mae10","ND-69","19_06_12","R3","06","19","LH","quagga","19_06_12_R3",32.558139539,325581.395394
"Mae10","ND-7","18_06_28","R4","06","18","LE","quagga","18_06_28_R4",1.184838209,11848.3820937
"Mae10","ND-70","19_06_12","R4","06","19","LH","quagga","19_06_12_R4",17.5,175000
"Mae10","ND-71","19_08_22","R1","08","19","LH","control","19_08_22_R1",14.814768098,148147.6809748
"Mae10","ND-72","19_08_22","R2","08","19","LH","control","19_08_22_R2",12.893862314,128938.62314
"Mae10","ND-73","19_08_22","R3","08","19","LH","control","19_08_22_R3",15.810687531,158106.8753188
"Mae10","ND-74","19_08_22","R1","08","19","LH","quagga","19_08_22_R1",12.226266497,122262.6649719
"Mae10","ND-75","19_08_22","R2","08","19","LH","quagga","19_08_22_R2",17.42656968,174265.6967985
"Mae10","ND-76","19_08_22","R4","08","19","LH","quagga","19_08_22_R4",22.103289618,221032.8961839
"Mae10","ND-8","18_07_10","R2","07","18","LE","control","18_07_10_R2",6.954595285,69545.952851
"Mae10","ND-9","18_07_10","R3","07","18","LE","control","18_07_10_R3",1.188290829,11882.90828
"Mae2_(HL/LG)","ND-1","18_06_28","R1","06","18","LE","control","18_06_28_R1",2.303754266,23037.542661
"Mae2_(HL/LG)","ND-10","18_07_10","R1","07","18","LE","control","18_07_10_R1",5.071900505,50719.005046
"Mae2_(HL/LG)","ND-11","18_07_10","R1","07","18","LE","quagga","18_07_10_R1",7.922103177,79221.03177
"Mae2_(HL/LG)","ND-12","18_07_10","R2","07","18","LE","quagga","18_07_10_R2",9.822628173,98226.281736
"Mae2_(HL/LG)","ND-13","18_07_10","R3","07","18","LE","quagga","18_07_10_R3",6.44795731,64479.573097
"Mae2_(HL/LG)","ND-14","18_07_10","R4","07","18","LE","quagga","18_07_10_R4",9.374668787,93746.687868
"Mae2_(HL/LG)","ND-15","18_07_25","R1","07","18","LE","control","18_07_25_R1",25.475805125,254758.051249
"Mae2_(HL/LG)","ND-16","18_07_25","R2","07","18","LE","control","18_07_25_R2",24.009895767,240098.957668
"Mae2_(HL/LG)","ND-17","18_07_25","R3","07","18","LE","control","18_07_25_R3",26.588891788,265888.917883
"Mae2_(HL/LG)","ND-18","18_07_25","R1","07","18","LE","quagga","18_07_25_R1",24.348878597,243488.7859897
"Mae2_(HL/LG)","ND-19","18_07_25","R2","07","18","LE","quagga","18_07_25_R2",24.634820881,246348.2087915
"Mae2_(HL/LG)","ND-2","18_06_28","R2","06","18","LE","control","18_06_28_R2",1.997532943,19975.3294248
"Mae2_(HL/LG)","ND-20","18_07_25","R3","07","18","LE","quagga","18_07_25_R3",21.067249189,210672.4918823
"Mae2_(HL/LG)","ND-21","18_07_25","R4","07","18","LE","quagga","18_07_25_R4",25.09521923,250952.1923
"Mae2_(HL/LG)","ND-22","18_08_15","R1","08","18","LE","control","18_08_15_R1",50.30189396,503018.9396
"Mae2_(HL/LG)","ND-23","18_08_15","R2","08","18","LE","control","18_08_15_R2",50.377972469,503779.724683
"Mae2_(HL/LG)","ND-24","18_08_15","R3","08","18","LE","control","18_08_15_R3",54.331171804,543311.718034
"Mae2_(HL/LG)","ND-25","18_08_15","R1","08","18","LE","quagga","18_08_15_R1",56.473306377,564733.063768
"Mae2_(HL/LG)","ND-26","18_08_15","R2","08","18","LE","quagga","18_08_15_R2",54.087342086,540873.420845
"Mae2_(HL/LG)","ND-27","18_08_15","R3","08","18","LE","quagga","18_08_15_R3",56.792912884,567929.128826
"Mae2_(HL/LG)","ND-28","18_08_15","R4","08","18","LE","quagga","18_08_15_R4",56.263244707,562632.4470922
"Mae2_(HL/LG)","ND-29","18_10_4","R1","10","18","LE","control","18_10_4_R1",9.255926713,92559.2671346
"Mae2_(HL/LG)","ND-3","18_06_28","R3","06","18","LE","control","18_06_28_R3",15.03332466,150333.2466129
"Mae2_(HL/LG)","ND-30","18_10_4","R2","10","18","LE","control","18_10_4_R2",20.491844063,204918.440634
"Mae2_(HL/LG)","ND-31","18_10_4","R3","10","18","LE","control","18_10_4_R3",19.039255142,190392.551418
"Mae2_(HL/LG)","ND-32","18_10_4","R1","10","18","LE","quagga","18_10_4_R1",27.611291107,276112.9110763
"Mae2_(HL/LG)","ND-33","18_10_4","R2","10","18","LE","quagga","18_10_4_R2",26.714661712,267146.617121
"Mae2_(HL/LG)","ND-35","19_07_18","R1","07","19","LE","control","19_07_18_R1",4.440523238,44405.23238
"Mae2_(HL/LG)","ND-36","19_07_18","R2","07","19","LE","control","19_07_18_R2",4.736740969,47367.409687
"Mae2_(HL/LG)","ND-37","19_07_18","R3","07","19","LE","control","19_07_18_R3",7.877079526,78770.79526
"Mae2_(HL/LG)","ND-38","19_07_18","R1","07","19","LE","quagga","19_07_18_R1",9.45252318,94525.231804
"Mae2_(HL/LG)","ND-39","19_07_18","R2","07","19","LE","quagga","19_07_18_R2",4.038247307,40382.473074
"Mae2_(HL/LG)","ND-4","18_06_28","R1","06","18","LE","quagga","18_06_28_R1",4.896132355,48961.323554
"Mae2_(HL/LG)","ND-40","19_07_18","R3","07","19","LE","quagga","19_07_18_R3",5.985963947,59859.63947
"Mae2_(HL/LG)","ND-41","19_07_18","R4","07","19","LE","quagga","19_07_18_R4",6.190793862,61907.938627
"Mae2_(HL/LG)","ND-42","19_07_31","R1","07","19","LE","control","19_07_31_R1",6.129147603,61291.4760186
"Mae2_(HL/LG)","ND-43","19_07_31","R2","07","19","LE","control","19_07_31_R2",4.675829089,46758.2908827
"Mae2_(HL/LG)","ND-44","19_07_31","R3","07","19","LE","control","19_07_31_R3",6.277216544,62772.1654251
"Mae2_(HL/LG)","ND-45","19_07_31","R1","07","19","LE","quagga","19_07_31_R1",6.099616344,60996.1634377
"Mae2_(HL/LG)","ND-46","19_07_31","R2","07","19","LE","quagga","19_07_31_R2",5.895450476,58954.5047448
"Mae2_(HL/LG)","ND-47","19_07_31","R3","07","19","LE","quagga","19_07_31_R3",5.233535168,52335.3516916
"Mae2_(HL/LG)","ND-48","19_07_31","R4","07","19","LE","quagga","19_07_31_R4",4.572415762,45724.1576154
"Mae2_(HL/LG)","ND-49","19_08_13","R1","08","19","LE","control","19_08_13_R1",47.054190302,470541.903018
"Mae2_(HL/LG)","ND-5","18_06_28","R2","06","18","LE","quagga","18_06_28_R2",2.542500121,25425.00121
"Mae2_(HL/LG)","ND-50","19_08_13","R2","08","19","LE","control","19_08_13_R2",52.713437468,527134.3746724
"Mae2_(HL/LG)","ND-51","19_08_13","R3","08","19","LE","control","19_08_13_R3",57.68371588,576837.15881
"Mae2_(HL/LG)","ND-52","19_08_13","R4","08","19","LE","control","19_08_13_R4",56.35573845,563557.384496
"Mae2_(HL/LG)","ND-53","19_08_13","R1","08","19","LE","quagga","19_08_13_R1",48.590206084,485902.0608461
"Mae2_(HL/LG)","ND-54","19_08_13","R2","08","19","LE","quagga","19_08_13_R2",56.863186676,568631.8667552
"Mae2_(HL/LG)","ND-55","19_08_13","R3","08","19","LE","quagga","19_08_13_R3",64.01514557,640151.455699
"Mae2_(HL/LG)","ND-56","19_08_13","R4","08","19","LE","quagga","19_08_13_R4",53.728877882,537288.778805
"Mae2_(HL/LG)","ND-57","19_09_18","R1","09","19","LE","control","19_09_18_R1",61.854221741,618542.21741
"Mae2_(HL/LG)","ND-58","19_09_18","R2","09","19","LE","control","19_09_18_R2",64.601769904,646017.699042
"Mae2_(HL/LG)","ND-59","19_09_18","R3","09","19","LE","control","19_09_18_R3",64.689265536,646892.65536
"Mae2_(HL/LG)","ND-6","18_06_28","R3","06","18","LE","quagga","18_06_28_R3",0.882458332,8824.58332
"Mae2_(HL/LG)","ND-60","19_09_18","R1","09","19","LE","quagga","19_09_18_R1",75.576770094,755767.7009313
"Mae2_(HL/LG)","ND-61","19_09_18","R2","09","19","LE","quagga","19_09_18_R2",54.263370746,542633.707467
"Mae2_(HL/LG)","ND-62","19_09_18","R3","09","19","LE","quagga","19_09_18_R3",78.94590369,789459.0368935
"Mae2_(HL/LG)","ND-63","19_09_18","R4","09","19","LE","quagga","19_09_18_R4",72.058900657,720589.00658
"Mae2_(HL/LG)","ND-64","19_06_12","R1","06","19","LH","control","19_06_12_R1",13.888888888,138888.88888
"Mae2_(HL/LG)","ND-65","19_06_12","R2","06","19","LH","control","19_06_12_R2",3.846153846,38461.53846
"Mae2_(HL/LG)","ND-66","19_06_12","R3","06","19","LH","control","19_06_12_R3",9.677419355,96774.19355
"Mae2_(HL/LG)","ND-67","19_06_12","R1","06","19","LH","quagga","19_06_12_R1",5.469739175,54697.39175
"Mae2_(HL/LG)","ND-68","19_06_12","R2","06","19","LH","quagga","19_06_12_R2",6.818181818,68181.81818
"Mae2_(HL/LG)","ND-69","19_06_12","R3","06","19","LH","quagga","19_06_12_R3",4.651162791,46511.62791
"Mae2_(HL/LG)","ND-7","18_06_28","R4","06","18","LE","quagga","18_06_28_R4",3.258305075,32583.0507527
"Mae2_(HL/LG)","ND-70","19_06_12","R4","06","19","LH","quagga","19_06_12_R4",8.333333334,83333.33334
"Mae2_(HL/LG)","ND-71","19_08_22","R1","08","19","LH","control","19_08_22_R1",31.275621544,312756.215428
"Mae2_(HL/LG)","ND-72","19_08_22","R2","08","19","LH","control","19_08_22_R2",33.56608722,335660.8721924
"Mae2_(HL/LG)","ND-73","19_08_22","R3","08","19","LH","control","19_08_22_R3",32.518199781,325181.9978185
"Mae2_(HL/LG)","ND-74","19_08_22","R1","08","19","LH","quagga","19_08_22_R1",45.60845486,456084.5486177
"Mae2_(HL/LG)","ND-75","19_08_22","R2","08","19","LH","quagga","19_08_22_R2",35.442108915,354421.0891386
"Mae2_(HL/LG)","ND-76","19_08_22","R4","08","19","LH","quagga","19_08_22_R4",36.112795581,361127.9558131
"Mae2_(HL/LG)","ND-8","18_07_10","R2","07","18","LE","control","18_07_10_R2",3.974054449,39740.544496
"Mae2_(HL/LG)","ND-9","18_07_10","R3","07","18","LE","control","18_07_10_R3",7.129744968,71297.449684
"Mae2_(LL/LG)","ND-1","18_06_28","R1","06","18","LE","control","18_06_28_R1",0.170648464,1706.4846416
"Mae2_(LL/LG)","ND-10","18_07_10","R1","07","18","LE","control","18_07_10_R1",1.127089001,11270.890012
"Mae2_(LL/LG)","ND-11","18_07_10","R1","07","18","LE","quagga","18_07_10_R1",0.537091741,5370.917408
"Mae2_(LL/LG)","ND-12","18_07_10","R2","07","18","LE","quagga","18_07_10_R2",1.964525635,19645.256348
"Mae2_(LL/LG)","ND-13","18_07_10","R3","07","18","LE","quagga","18_07_10_R3",0.831994492,8319.944916
"Mae2_(LL/LG)","ND-14","18_07_10","R4","07","18","LE","quagga","18_07_10_R4",1.536830949,15368.309489
"Mae2_(LL/LG)","ND-15","18_07_25","R1","07","18","LE","control","18_07_25_R1",0.878476039,8784.760388
"Mae2_(LL/LG)","ND-16","18_07_25","R2","07","18","LE","control","18_07_25_R2",1.005065404,10050.654042
"Mae2_(LL/LG)","ND-17","18_07_25","R3","07","18","LE","control","18_07_25_R3",1.719109382,17191.093828
"Mae2_(LL/LG)","ND-18","18_07_25","R1","07","18","LE","quagga","18_07_25_R1",1.38740049,13874.004899
"Mae2_(LL/LG)","ND-19","18_07_25","R2","07","18","LE","quagga","18_07_25_R2",2.500526931,25005.2693085
"Mae2_(LL/LG)","ND-2","18_06_28","R2","06","18","LE","control","18_06_28_R2",0.38661928,3866.1927928
"Mae2_(LL/LG)","ND-20","18_07_25","R3","07","18","LE","quagga","18_07_25_R3",1.398655547,13986.555477
"Mae2_(LL/LG)","ND-21","18_07_25","R4","07","18","LE","quagga","18_07_25_R4",1.060361376,10603.61376
"Mae2_(LL/LG)","ND-22","18_08_15","R1","08","18","LE","control","18_08_15_R1",4.31159091,43115.90911
"Mae2_(LL/LG)","ND-23","18_08_15","R2","08","18","LE","control","18_08_15_R2",3.048811015,30488.110141
"Mae2_(LL/LG)","ND-24","18_08_15","R3","08","18","LE","control","18_08_15_R3",3.685253901,36852.539008
"Mae2_(LL/LG)","ND-25","18_08_15","R1","08","18","LE","quagga","18_08_15_R1",2.273289875,22732.898754
"Mae2_(LL/LG)","ND-26","18_08_15","R2","08","18","LE","quagga","18_08_15_R2",2.551289721,25512.897207
"Mae2_(LL/LG)","ND-27","18_08_15","R3","08","18","LE","quagga","18_08_15_R3",5.359452966,53594.5296558
"Mae2_(LL/LG)","ND-28","18_08_15","R4","08","18","LE","quagga","18_08_15_R4",3.574971676,35749.7167604
"Mae2_(LL/LG)","ND-29","18_10_4","R1","10","18","LE","control","18_10_4_R1",3.249421079,32494.2107996
"Mae2_(LL/LG)","ND-3","18_06_28","R3","06","18","LE","control","18_06_28_R3",0.081481434,814.8143446
"Mae2_(LL/LG)","ND-30","18_10_4","R2","10","18","LE","control","18_10_4_R2",9.668686989,96686.869895
"Mae2_(LL/LG)","ND-31","18_10_4","R3","10","18","LE","control","18_10_4_R3",12.981310323,129813.103229
"Mae2_(LL/LG)","ND-32","18_10_4","R1","10","18","LE","quagga","18_10_4_R1",12.117185305,121171.853053
"Mae2_(LL/LG)","ND-33","18_10_4","R2","10","18","LE","quagga","18_10_4_R2",17.73494349,177349.434894
"Mae2_(LL/LG)","ND-35","19_07_18","R1","07","19","LE","control","19_07_18_R1",3.806162775,38061.62775
"Mae2_(LL/LG)","ND-36","19_07_18","R2","07","19","LE","control","19_07_18_R2",2.786318217,27863.182174
