Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Treatment	Timepoint	Culture	NPratio	REP	GROUP	NOTE
11/21/25 13:36	3.34	0	0.18	0	0.04	3.52	100	-0.34	24.11	CHLAMY_Q1_80	T0					NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:37	3.39	2.36	0	0	0.16	5.75	100	-0.33	24.1	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.07	2.43	0	0	0.19	5.51	100	-0.34	24.1	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.12	2.45	0	0	0.18	5.57	100	-0.34	24.1	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.17	2.41	0	0	0.19	5.58	100	-0.33	24.1	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.14	2.38	0	0	0.19	5.51	100	-0.34	24.11	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.15	2.42	0	0	0.19	5.57	100	-0.34	24.12	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.11	2.44	0	0	0.19	5.55	100	-0.33	24.12	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.21	2.41	0	0	0.17	5.62	100	-0.34	24.11	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.09	2.39	0	0	0.18	5.48	100	-0.34	24.12	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
11/21/25 13:37	3.03	2.44	0	0	0.19	5.47	100	-0.34	24.15	MIX3_Q1_5	T0	LE19-114	5	R1	QUAGGA	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:38	4.04	2.97	0	0.02	0.08	7.03	100	-0.34	24.14	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.71	3.04	0.04	0	0.1	6.8	100	-0.34	24.12	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.67	3.01	0	0	0.11	6.68	100	-0.34	24.12	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.81	2.98	0	0	0.11	6.79	100	-0.34	24.17	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.79	2.97	0	0.01	0.07	6.77	100	-0.34	24.16	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.8	2.97	0	0	0.1	6.77	100	-0.33	24.16	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.56	2.98	0.08	0.02	0.1	6.64	100	-0.34	24.17	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.76	2.96	0	0	0.11	6.72	100	-0.34	24.17	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.66	2.88	0	0.12	0.1	6.66	100	-0.34	24.17	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
11/21/25 13:38	3.64	3.04	0	0	0.11	6.68	100	-0.34	24.16	MIX3_Q1_80	T0	LE19-114	80	R1	QUAGGA	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:39	3.13	0	0	0	0	3.13	100	-0.33	24.12	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:39	3	0	0	0	0	3	100	-0.34	24.15	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	3.02	0	0	0	0	3.02	100	-0.34	24.13	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	2.97	0	0	0	0	2.97	100	-0.34	24.14	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	2.98	0	0	0	0	2.98	100	-0.33	24.15	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	2.88	0	0.03	0	0	2.91	100	-0.34	24.17	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	2.9	0	0	0	0.03	2.9	100	-0.34	24.17	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	2.93	0	0	0	0.02	2.93	100	-0.34	24.15	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	2.97	0	0	0	0	2.97	100	-0.34	24.15	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
11/21/25 13:40	2.94	0	0	0	0.02	2.94	100	-0.34	24.17	CHLAMY_Q2_5	T0	CHLAMY	5	R2	QUAGGA	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:41	3.95	3.2	0.01	0	0.05	7.15	100	-0.33	24.17	MIX1_Q1_80	T0	LE19-195	80	R1	QUAGGA	NEW
11/21/25 13:41	3.38	3.25	0.05	0	0.09	6.69	100	-0.34	24.17	MIX1_Q1_80	T0	LE19-195	80	R1	QUAGGA	NEW
