Treatment	Culture	NPratio	GROUP	NOTE	REP	exp_date	start_time	m1_body_length	m2_body_length	volume_ml	mussel_batch
MIX1_20	LE19-195	20	CONTROL	NEW	R1	X101725				1500	
MIX3_20	LE19-114	20	CONTROL	NEW	R1	X101725				1500	
CHLAMY_20	CHLAMY	20	CONTROL	NEW	R1	X101725				1500	
CHLAMY_Q_5	CHLAMY	5	QUAGGA	NEW	R1	X101725	10/17/25 14:45	18.93	22.39	1500	LE2025
MIX1_Q1_20	LE19-195	20	QUAGGA	NEW	R1	X101725	10/17/25 14:23	23.15	18.99	1500	LE2025
MIX3_Q1_20	LE19-114	20	QUAGGA	NEW	R1	X101725	10/17/25 14:27	20.6	21.91	1500	LE2025
MIX3_Q1_5	LE19-114	5	QUAGGA	NEW	R1	X101725	10/17/25 14:28	23.55	20.61	1500	LE2025
MIX3_Q2_20	LE19-114	20	QUAGGA	NEW	R2	X101725	10/17/25 14:28	19.37	21.33	1500	LE2025
MIX3_Q3_5	LE19-114	5	QUAGGA	NEW	R3	X101725	10/17/25 14:30	21.46	21.47	1500	LE2025
CHLAMY_Q1_20	CHLAMY	20	QUAGGA	NEW	R1	X101725	10/17/25 14:30	24.03	22.38	1500	LE2025
MIX1_Q2_20	LE19-195	20	QUAGGA	NEW	R2	X101725	10/17/25 14:35	22.42	19.93	1500	LE2025
MIX3_Q3_20	LE19-114	20	QUAGGA	NEW	R3	X101725	10/17/25 14:57	25.24	NA	1500	LE2025
MIX3_Q2_5	LE19-114	5	QUAGGA	NEW	R2	X101725	10/17/25 14:40	20.7	23.99	1500	LE2025
CHLAMY_20	CHLAMY	20	CONTROL	NEW	R1	X102425				1500	
MIX3_20	LE19-114	20	CONTROL	NEW	R1	X102425				1500	
MIX1_20	LE19-195	20	CONTROL	NEW	R1	X102425				1500	
MIX3_80	LE19-114	80	CONTROL	NEW	R1	X102425				1500	
MIX1_80	LE19-195	80	CONTROL	NEW	R1	X102425				1500	
CHLAMY_80	CHLAMY	80	CONTROL	NEW	R1	X102425				1500	
MIX3_Q1_80	LE19-114	80	QUAGGA	NEW	R1	X102425	10/24/25 14:25	18.97	24.84	1500	LE2025
MIX1_Q1_80	LE19-195	80	QUAGGA	NEW	R1	X102425	10/24/25 14:26	19	23.44	1500	LE2025
MIX1_Q1_20	LE19-195	20	QUAGGA	NEW	R1	X102425	10/24/25 14:32	18.09	19.09	1500	LE2025
