Tank,ExperimentDate,Month,Day,Year,category,exp_id,V,WaterLocation,quagga_elapsed_hour,quagga_VFMx,Z0,ZFM,avg_control_elapsed_hour,avg_C0,avg_CFM,FI
Q2,6/12/19,6,12,2019,total,163,14000,SB15,4.6934096385373,13850,4.81915662650602,4.5231,4.68309419987378,5.1002933121091,5.2785090332169,14.5785009617878
Q2,6/12/19,6,12,2019,yellow_sub,163,14000,SB15,4.6934096385373,13850,0.738674698795181,0.831,4.68309419987378,0.732959628801734,0.710732774388013,-22.157961447519
Q2,6/28/18,6,28,2018,blugrn,180,14000,WE4,3.55061728398005,13925,2.07857142857143,0.749259259259259,3.70793650794912,1.93630952380952,1.30134920634921,122.8175590206
Q2,6/28/18,6,28,2018,diatom,180,14000,WE4,3.55061728398005,13925,1.09,0.830740740740741,3.70793650794912,1.27071428571429,1.48729276895944,84.5755762338718
Q2,6/28/18,6,28,2018,grn,180,14000,WE4,3.55061728398005,13925,0.215,0.17,3.70793650794912,0.298095238095238,0.325308641975309,63.5215391476395
Q2,6/28/18,6,28,2018,total,180,14000,WE4,3.55061728398005,13925,3.58714285714286,1.74888888888889,3.70793650794912,3.64702380952381,3.1532671957672,112.947156745009
Q2,6/28/18,6,28,2018,yellow_sub,180,14000,WE4,3.55061728398005,13925,1.93392857142857,1.89296296296296,3.70793650794912,1.85333333333333,1.83401234567901,2.15492377197843
Q2,7/10/18,7,10,2018,blugrn,192,14000,WE4,2.63333333333333,13925,0.821764705882353,0.731538461538462,2.63337949995641,0.983605508870215,0.935564713064713,17.6053678718456
Q2,7/10/18,7,10,2018,crypto,192,14000,WE4,2.63333333333333,13925,0.828235294117647,0.0869230769230769,2.63337949995641,0.67870059134765,0.484135124135124,509.438124448051
Q2,7/10/18,7,10,2018,diatom,192,14000,WE4,2.63333333333333,13925,2.40176470588235,0.961923076923077,2.63337949995641,2.46073544973545,2.65105575905576,263.037559100036
Q2,7/10/18,7,10,2018,grn,192,14000,WE4,2.63333333333333,13925,2.9,1.63153846153846,2.63337949995641,3.1668370681606,3.32472039072039,165.830775478796
Q2,7/10/18,7,10,2018,total,192,14000,WE4,2.63333333333333,13925,6.95147058823529,3.41153846153846,2.63337949995641,7.29034982882042,7.39558363858364,193.019603466418
Q2,7/10/18,7,10,2018,yellow_sub,192,14000,WE4,2.63333333333333,13925,0.671764705882353,0.540384615384615,2.63337949995641,0.631794273264861,0.471614163614164,-19.8770636597253
Q2,7/10/19,7,10,2019,blugrn,191,14000,SB15,4.53087989118364,13850,4.64016949152542,4.95277777777778,4.52953417817752,4.66699754901961,4.79307047168749,-5.95462437155322
Q2,7/10/19,7,10,2019,crypto,191,14000,SB15,4.53087989118364,13850,1.11779661016949,1.11537037037037,4.52953417817752,1.02366953564371,1.04116268804399,2.95352170628242
Q2,7/10/19,7,10,2019,diatom,191,14000,SB15,4.53087989118364,13850,3.42966101694915,2.58666666666667,4.52953417817752,3.58806306049552,3.60302286448983,44.2246170559173
Q2,7/10/19,7,10,2019,grn,191,14000,SB15,4.53087989118364,13850,0,0,4.52953417817752,0,0,NA
Q2,7/10/19,7,10,2019,total,191,14000,SB15,4.53087989118364,13850,9.18796610169492,8.65555555555556,4.52953417817752,9.27845284237726,9.43730902314889,11.8450501352552
Q2,7/10/19,7,10,2019,yellow_sub,191,14000,SB15,4.53087989118364,13850,0.581694915254237,0.662407407407407,4.52953417817752,0.569120402036784,0.497126444953993,-40.9694365740053
Q2,7/18/19,7,18,2019,blugrn,199,14000,WE4,3.80132405128744,13900,2.11567567567568,1.02181818181818,3.82020312137074,1.85742097597847,1.79298103728211,127.517917384838
Q2,7/18/19,7,18,2019,crypto,199,14000,WE4,3.80132405128744,13900,0.202027027027027,0.128181818181818,3.82020312137074,0.188611359991151,0.234703611800386,124.03853479594
Q2,7/18/19,7,18,2019,diatom,199,14000,WE4,3.80132405128744,13900,2.24405405405405,0.833333333333333,3.82020312137074,2.23165204726877,2.34111494041602,191.234300339162
Q2,7/18/19,7,18,2019,grn,199,14000,WE4,3.80132405128744,13900,2.51202702702703,0.705454545454545,3.82020312137074,2.16610674188375,2.54105045492142,263.264678737643
Q2,7/18/19,7,18,2019,total,199,14000,WE4,3.80132405128744,13900,7.07378378378378,2.68727272727273,3.82020312137074,6.44422952270339,6.90965566890298,191.070897340667
Q2,7/18/19,7,18,2019,yellow_sub,199,14000,WE4,3.80132405128744,13900,0.557162162162162,0.739393939393939,3.82020312137074,0.659504415316262,0.531532947339399,-91.8334229656243
Q2,7/25/18,7,25,2018,blugrn,206,14000,WE4,4.24656862742371,13925,4.17176470588235,3.99384615384615,4.27180942550853,4.1684421101774,3.91622186234818,-3.10401188448578
Q2,7/25/18,7,25,2018,crypto,206,14000,WE4,4.24656862742371,13925,0.779117647058824,0.585384615384615,4.27180942550853,0.655548397136632,0.73416383265857,65.7959761763712
Q2,7/25/18,7,25,2018,diatom,206,14000,WE4,4.24656862742371,13925,2.03529411764706,1.24846153846154,4.27180942550853,1.98339666977902,1.98568070175439,80.7511874285617
Q2,7/25/18,7,25,2018,grn,206,14000,WE4,4.24656862742371,13925,0.201176470588235,0.0176923076923077,4.27180942550853,0.274139122315593,0.554861538461539,516.95733242506
Q2,7/25/18,7,25,2018,total,206,14000,WE4,4.24656862742371,13925,7.18794117647059,5.84461538461538,4.27180942550853,7.08066588857765,7.18955951417004,36.6183089786388
Q2,7/25/18,7,25,2018,yellow_sub,206,14000,WE4,4.24656862742371,13925,1.17470588235294,1.23846153846154,4.27180942550853,1.21798179271709,1.13113819163293,-20.9053656142714
Q2,7/25/19,7,25,2019,blugrn,206,14000,SB15,5.35969029373593,13850,8.90827586206897,8.71777777777778,5.37050371872054,8.92927450980392,8.88358237547893,2.15315985969511
Q2,7/25/19,7,25,2019,crypto,206,14000,SB15,5.35969029373593,13850,5.22275862068966,5.06472222222222,5.37050371872054,5.15831590413943,4.89018199233716,-2.958740667373
Q2,7/25/19,7,25,2019,diatom,206,14000,SB15,5.35969029373593,13850,3.7848275862069,3.62416666666667,5.37050371872054,3.93811220043573,4.26423690932312,16.056228474164
Q2,7/25/19,7,25,2019,grn,206,14000,SB15,5.35969029373593,13850,0,0,5.37050371872054,0,0,NA
Q2,7/25/19,7,25,2019,total,206,14000,SB15,5.35969029373593,13850,17.9162068965517,17.4069444444444,5.37050371872054,18.0245697167756,18.0379533844189,3.8631172991241
Q2,7/25/19,7,25,2019,yellow_sub,206,14000,SB15,5.35969029373593,13850,1.54931034482759,1.36083333333333,5.37050371872054,1.55328104575163,1.40563218390805,3.89597234363073
Q2,7/31/19,7,31,2019,blugrn,212,14000,WE4,3.28083466245068,13900,24.5278787878788,21.19,3.30410874852428,24.1767826521024,22.8049097744361,18.7467107982027
Q2,7/31/19,7,31,2019,crypto,212,14000,WE4,3.28083466245068,13900,1.91984848484848,1.66684210526316,3.30410874852428,1.89850334742777,1.94156780840991,34.9367569563199
Q2,7/31/19,7,31,2019,diatom,212,14000,WE4,3.28083466245068,13900,0.0763636363636364,0.0736842105263158,3.30410874852428,0.0932652102419544,0.0659640768588137,-66.2737267447874
Q2,7/31/19,7,31,2019,grn,212,14000,WE4,3.28083466245068,13900,0,0,3.30410874852428,0,0,NA
Q2,7/31/19,7,31,2019,total,212,14000,WE4,3.28083466245068,13900,26.5237878787879,22.9318421052632,3.30410874852428,26.1689128200611,24.8126775271512,19.6927533711005
Q2,7/31/19,7,31,2019,yellow_sub,212,14000,WE4,3.28083466245068,13900,1.33106060606061,1.17552631578947,3.30410874852428,1.2949073584684,1.16590169869117,4.12120862901293
Q2,8/13/2019 Whole,8,13,2019 Whole,blugrn,225-Whole,14000,WE4,4.1560129897462,13875,1.50189189189189,2.49674418604651,4.14263973156611,1.51871621621622,2.61737755102041,6.07116987234577
Q2,8/13/2019 Whole,8,13,2019 Whole,diatom,225-Whole,14000,WE4,4.1560129897462,13875,0.702162162162162,0.921162790697674,4.14263973156611,0.624391891891892,1.35553571428571,84.8387605960043
Q2,8/13/2019 Whole,8,13,2019 Whole,grn,225-Whole,14000,WE4,4.1560129897462,13875,0.374594594594595,0.282558139534884,4.14263973156611,0.515608108108108,0.469461734693878,31.6986200073652
Q2,8/13/2019 Whole,8,13,2019 Whole,total,225-Whole,14000,WE4,4.1560129897462,13875,2.95648648648649,3.70046511627907,4.14263973156611,3.1525,4.45165306122449,20.3165706639854
Q2,8/13/2019 Whole,8,13,2019 Whole,yellow_sub,225-Whole,14000,WE4,4.1560129897462,13875,0.353513513513514,0.436046511627907,4.14263973156611,0.344797297297297,0.393354591836735,-13.1497905842996
Q2,8/15/18,8,15,2018,blugrn,228,14000,WE4,4.969410569138,13925,2.65711538461538,2.18536585365854,4.96683787447435,2.85386862669121,2.60135236079836,14.4825346494851
Q2,8/15/18,8,15,2018,crypto,228,14000,WE4,4.969410569138,13925,0.429230769230769,0.251463414634146,4.96683787447435,0.646210484678227,0.519800953181946,44.655699611357
Q2,8/15/18,8,15,2018,diatom,228,14000,WE4,4.969410569138,13925,1.60826923076923,1.0780487804878,4.96683787447435,1.62442854144467,1.63783300324661,57.5031307166713
Q2,8/15/18,8,15,2018,grn,228,14000,WE4,4.969410569138,13925,3.02519230769231,2.16585365853659,4.96683787447435,2.81220696502955,3.01526122068785,56.8908279494077
Q2,8/15/18,8,15,2018,total,228,14000,WE4,4.969410569138,13925,7.71942307692308,5.6790243902439,4.96683787447435,7.93722981045562,7.77392233466272,40.3105120813137
Q2,8/15/18,8,15,2018,yellow_sub,228,14000,WE4,4.969410569138,13925,0.782692307692308,0.72609756097561,4.96683787447435,0.803109076818754,0.672368214004721,-14.4565240672554
